symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,combined_score
SOON/USDT:USDT,0.48275,2.2684495599187544,2.2475613858055836,80.81721749070553,0.035673617718364636,3394705.733724074,4.179005222283834,Buy,76.78368088591823,Consistent Uptrend,9.23,0.931,98.46,53.95,daily,2025-08-11 23:30:03.820467+00:00,1.2234107217989072,40.372893360926184,72.64025074652152,69.60399916044899,False,True,False,True,True,False,0.4292765306122449,0.12456648704155782,0.4292765306122449,0.48242469387755105,80.77173617718364
ASR/USDT:USDT,6.806,0.3503968253968255,1.996917657419639,67.20587042750469,0.17155162287633263,1011187.9241030928,0.5764335123413787,Strong Buy,85.57758114381663,Consistent Uptrend,9.0,0.838,89.47,5.42,daily,2025-08-11 23:27:23.092483+00:00,0.7277862462037915,53.71532979184599,53.64459266317293,68.86462899402758,True,True,True,True,True,False,6.003377551020408,0.133695147799453,6.003377551020408,7.46269387755102,63.47651622876332
QNT/USDT:USDT,109.12,0.11860584315735534,0.013467075322745492,55.88255856815878,1.0041235805287525,58959663.27425,2.1318873908990117,Weak Buy,91.73353766137275,New Spike,2.33,0.545,66.13,40.0,daily,2025-08-11 23:29:04.449540+00:00,0.8160162911433457,16.672536279896264,92.87962234461054,83.46446367689482,False,True,False,True,True,True,96.92316326530613,0.1258402669061438,96.92316326530613,111.80030612244897,63.41170753227455
BCH/USDT:USDT,510.65,0.05746531372955066,0.2653005599881064,64.44861648233542,1.9033662614570162,264501857.44450006,1.1184641090660048,Weak Buy,90.0,Consolidation,8.15,0.679,86.72,6.21,daily,2025-08-11 23:27:55.506487+00:00,0.8848701993312278,26.90380811544815,81.01542838384941,77.16449618597105,True,True,False,True,True,True,317.20020408163265,0.609866555661428,317.20020408163265,504.4855102040816,63.223
BTC/USDT:USDT,108831.9,0.014083050302598155,0.02833032231729793,58.31555158888569,245.73251526502463,631006329885.4015,1.2216963069141304,Neutral,98.24821146124711,Lagging,5.09,0.402,77.2,10.08,daily,2025-08-11 23:29:12.988844+00:00,0.9073327331957868,11.805940315289217,92.47566704001801,82.5156381370894,True,True,False,True,True,True,83895.77857142857,0.29722736773151104,83895.77857142857,105656.91734693878,61.27364229224943
PAXG/USDT:USDT,3351.61,-0.0004354218671247523,-0.01334436286775742,49.980156792294295,-6.323457433613823,250639122.18035,3.398996901847756,Neutral,42.892396698996535,Lagging,5.4,0.428,59.52,74.81,daily,2025-08-11 23:28:26.989183+00:00,0.39480837299968435,27.53466105564752,44.13352715190545,37.79981310351996,False,True,False,False,False,True,3353.1414285714286,-0.00045671457767319025,3353.1414285714286,3350.4831632653063,60.78147933979931
BIO/USDT:USDT,0.07134,0.019579819922824093,0.5444901493829832,63.314386258794286,0.001144859590115883,684526.7162316999,1.7856508859541769,Neutral,85.05724297950579,Topping Out,7.27,0.462,64.51,37.55,daily,2025-08-11 23:28:02.237868+00:00,0.7947127008453488,28.43283154833338,77.00996677740865,73.17829457364341,False,False,False,True,True,False,0.06692448979591836,0.06597749519714581,0.06692448979591836,0.07016632653061225,60.53144859590116
BTC/USD:BTC,108846.1,0.013325922802000179,0.027950683042692104,58.27902308622892,244.59536599738414,1427238588055.7373,0.890621912601697,Neutral,92.30126432334623,Lagging,5.09,0.486,75.7,12.74,daily,2025-08-11 23:28:23.391743+00:00,0.9046941570507646,11.894967485944923,92.157781479939,82.11858154023103,True,True,False,True,True,True,106319.70510204081,0.023762245159864546,106319.70510204081,106130.08367346939,60.132252864669255
ETC/USDT:USDT,16.964,0.045611439842208945,-0.03372066529961282,52.48281698835989,0.10306358344206207,7571279.798945,2.542610443860833,Weak Buy,35.1531791721031,Lagging,2.24,0.467,66.14,65.61,daily,2025-08-11 23:29:46.682372+00:00,0.8152752622540277,15.446528855926443,90.60232220609578,74.52693633307466,False,False,False,True,False,False,16.676959183673468,0.017211819802709617,16.676959183673468,18.704244897959185,59.78363583442062
AAVE/USDT:USDT,276.15,0.07913247362250875,0.07147014317308797,55.87659495956429,1.0785087305178185,494193815.3842,1.5584097693844112,Buy,100.0,New Spike,3.55,0.523,64.74,20.52,daily,2025-08-11 23:29:57.051169+00:00,0.7360417327499735,14.12897230880049,87.9648976180526,79.63040349166549,False,True,False,True,True,True,259.7718367346939,0.06304826370394087,259.7718367346939,259.63071428571425,58.525999999999996
BSV/USDT:USDT,25.01,-0.20476947535771062,-0.2639788110653324,30.813547705844087,-0.5185576925036668,31389332.852399997,3.44922893057707,Sell,15.0,Lagging,2.55,0.771,77.89,53.4,daily,2025-08-11 23:28:14.500595+00:00,-0.0790865516838135,19.373428812878576,23.39805825242719,15.866569620409328,False,False,False,False,False,False,40.753367346938774,-0.38630838067719453,40.753367346938774,24.580408163265307,57.965
UNI/USDT:USDT,7.351,0.05436029833620193,0.14039714551659954,54.312796255158744,-0.02184835911239212,3216453.82419,1.4432643260002156,Weak Buy,88.90758204438039,Weak Uptrend,6.29,0.46,68.41,18.99,daily,2025-08-11 23:27:49.659972+00:00,0.6525645759307284,16.136442603922397,69.02697495183045,53.227360308285164,False,False,False,True,True,False,6.9075,0.06420557365182776,6.9075,6.78215306122449,57.68351640887608
ORCA/USDT:USDT,2.023,0.0647368421052632,-0.2231182795698925,46.26041471595236,0.022749151063608364,773702.024885,7.190084754677133,Neutral,31.13745755318042,Weak Uptrend,3.06,0.528,68.61,55.6,daily,2025-08-11 23:28:21.585475+00:00,0.5172468870562956,25.740028603932753,72.60273972602745,50.80535902453713,False,False,False,False,False,False,3.0056836734693877,-0.32694181431777203,3.0056836734693877,2.3609795918367347,57.212491510636085
BNB/USDT:USDT,659.81,0.02125123823675068,-0.009383539020508702,55.87129635402762,2.0298550615916007,389028552.98695,1.3842187513483464,Neutral,50.30823048974565,Lagging,3.78,0.373,74.04,32.9,daily,2025-08-11 23:28:07.661793+00:00,0.8830800621059073,15.757761605518125,92.0871200250704,87.84584254458879,True,True,False,True,True,False,663.0414285714285,-0.004873645042649709,663.0414285714285,664.6986734693878,56.95164609794913
XMR/USDT:USDT,321.54,0.036256405298269456,-0.10164282521233792,51.92765266799368,1.720100281974199,210967573.9918,2.3742470804699587,Weak Buy,40.0,Lagging,2.44,0.481,65.33,49.03,daily,2025-08-11 23:28:30.164532+00:00,0.8710133818920195,17.987432801730893,85.15362767880197,72.9042655346082,False,True,False,True,False,True,215.1162244897959,0.4947268657332369,215.1162244897959,316.3313265306123,55.373999999999995
ATOM/USDT:USDT,4.175,0.044533400050037475,-0.06599552572706935,51.565994600202096,0.03709449375687483,12386357.206350002,3.283442773749529,Weak Buy,31.854724687843742,Lagging,2.25,0.432,65.54,53.3,daily,2025-08-11 23:27:27.196578+00:00,0.8302608578141679,15.615090724609614,88.95184135977333,74.36960603465313,False,False,False,True,False,False,4.86815306122449,-0.14238522341163629,4.86815306122449,4.540785714285715,55.130944937568756
MANA/USDT:USDT,0.2672,0.04252828716348045,-0.060147731269785454,51.7715099320684,0.00244813223730277,639402.4063435,6.161913623333788,Weak Buy,30.122406611865138,Lagging,2.65,0.31,53.32,74.52,daily,2025-08-11 23:27:08.715715+00:00,0.8561093710387496,20.651173464283023,67.4242424242424,58.02270804989464,False,False,False,True,False,False,0.27062857142857144,-0.012668918918918989,0.27062857142857144,0.2668010204081632,55.040481322373026
ZEN/USDT:USDT,8.106,0.1337062937062936,-0.1724349157733538,53.70247071239807,0.18540209647135425,4883481.493725,2.2414461767362552,Weak Buy,39.27010482356771,New Spike,2.12,0.632,64.98,47.85,daily,2025-08-11 23:28:46.427072+00:00,1.0079119042901847,14.005739520652602,71.87864644107354,86.02681667402408,False,False,False,True,False,False,7.2353367346938775,0.12033486446197304,7.2353367346938775,7.168234693877551,54.69902096471354
AXS/USDT:USDT,2.322,0.04359550561797754,-0.10863723608445297,49.93917349503741,0.023619527894970335,3472041.43259,3.0653229603131003,Neutral,31.180976394748516,Lagging,2.3,0.4,64.64,53.67,daily,2025-08-11 23:27:40.631614+00:00,0.7415302555840968,16.290751678839754,87.44680851063835,69.93982191625547,False,False,False,False,False,False,2.4484285714285714,-0.05163661823910376,2.4484285714285714,2.590112244897959,54.6571952789497
ETH/USD:ETH,2571.4,0.06303200175284118,-0.013466334164588534,56.13071926814581,8.99137971763626,11074332844.418951,1.7990359131376163,Weak Buy,48.266832917705734,Weak Uptrend,2.45,0.456,64.31,42.2,daily,2025-08-11 23:29:50.279617+00:00,0.8143442133864391,18.16086358949661,90.59901645172123,76.17132752387299,False,False,False,True,False,False,2522.026836734694,0.01957677949582422,2522.026836734694,2528.1464285714283,54.46836658354115
GAS/USDT:USDT,2.901,0.04994571118349622,-0.03460898502495846,51.81266342794332,0.016434197885208,564780.7939599999,4.220526096124522,Neutral,30.8217098942604,Lagging,2.89,0.364,64.31,53.68,daily,2025-08-11 23:30:24.493461+00:00,0.7107920792861413,23.63347749635141,71.91887675507019,55.74142804851058,False,False,False,False,False,False,2.4470510204081632,0.18550858801306022,2.4470510204081632,3.2404591836734697,54.42334197885208
STX/USDT:USDT,0.6881,0.02747498880095578,-0.08860927152317877,52.37615103419524,0.012060802004700479,1171497.7629729998,2.514506424535435,Neutral,30.603040100235024,Lagging,2.3,0.331,60.23,58.03,daily,2025-08-11 23:30:23.795735+00:00,0.8922312868577947,16.230497215460836,77.66899766899769,64.957264957265,False,False,False,True,False,False,0.5893999999999999,0.16745843230403823,0.5893999999999999,0.5800265306122449,53.644608020047
FTT/USDT:USDT,0.8439,0.09426867219917012,-0.23497416372042423,47.620442091864824,0.012843164689214787,1077236.4511470003,3.369503423193972,Neutral,30.64215823446074,New Spike,3.09,0.538,62.4,52.64,daily,2025-08-11 23:30:13.802474+00:00,0.6223761181340202,26.096762458917713,75.89376915219611,53.97442845544273,False,False,False,False,False,False,0.9445285714285714,-0.10653840918371975,0.9445285714285714,0.9736540816326531,53.12043164689214
SAND/USDT:USDT,0.25052,0.015196336669773602,-0.11153668830017371,47.13427225993471,0.0011037611694559232,736329.6882047,5.113213513624001,Neutral,30.055188058472798,Lagging,2.9,0.299,53.54,66.6,daily,2025-08-11 23:29:33.184364+00:00,0.5212345679196596,23.783053217855816,76.49459783913574,49.598629202687654,False,False,False,False,False,False,0.247029693877551,0.014129095444611267,0.247029693877551,0.25777,52.76103761169456
MKR/USDT:USDT,1981.2,0.044440929938320384,0.1380974264705883,53.58478263737279,-8.451357745070005,924068337.0014999,1.3110269999340012,Weak Buy,80.0,Lagging,5.91,0.519,66.28,11.93,daily,2025-08-11 23:27:30.399381+00:00,0.5479458533298119,11.335490948690339,79.21309984080057,58.40739086086611,False,True,False,True,True,True,1453.7836734693876,0.36278872583013516,1453.7836734693876,1898.1704081632652,52.719
KCS/USDT:USDT,11.74,0.10131332082551592,0.03163444639718804,59.50782181653305,0.10391516465041603,3845557.715634518,0.6090168141068952,Buy,87.1957582325208,New Spike,3.89,0.583,64.12,7.49,daily,2025-08-11 23:30:01.583494+00:00,0.700348866692961,36.150607009388786,70.77625570776254,81.4554280307705,False,False,False,True,True,False,14.034285714285714,-0.16347719869706837,14.034285714285714,11.161632653061226,51.74615164650416
ARB/USDT:USDT,0.3481,0.12690191000323736,-0.026565995525726915,54.10825467004906,0.007208973705957657,3561998.1672475,2.065004338714796,Weak Buy,32.07745092243442,New Spike,2.3,0.382,54.85,58.3,daily,2025-08-11 23:27:15.028085+00:00,0.8362952146051739,16.27073681282312,69.44847605224965,63.667150459603306,False,False,False,True,True,False,0.3488744897959184,-0.0022199668321161298,0.3488744897959184,0.34825,51.330490184486884
ILV/USDT:USDT,10.86,0.049275362318840665,-0.1919642857142857,46.78862856248938,0.07534799596855102,16374581.1148,2.0522610803245014,Neutral,33.76739979842755,Lagging,2.93,0.552,65.02,39.24,daily,2025-08-11 23:29:27.797595+00:00,0.5125728902912791,24.183124562726288,75.84745762711863,47.71507662075089,False,False,False,False,False,False,14.912142857142857,-0.27173444460410984,14.912142857142857,14.723163265306122,51.0354799596855
TIA/USDT:USDT,1.574,-0.003860515157268485,-0.30038225620055115,44.39295799887226,0.022352986167065714,3523278.0562489997,1.840461690095931,Neutral,42.257134151084806,Lagging,3.63,0.388,66.6,30.25,daily,2025-08-11 23:27:26.752978+00:00,0.49486991435140737,32.85549703892871,66.49835900025246,31.669205168043508,False,False,False,False,False,False,2.536364285714286,-0.37942668217442854,2.536364285714286,1.3923602040816325,50.82642683021696
SONIC/USDT:USDT,0.2578,0.11456982274102878,0.2928786359077231,61.66085602811079,0.002277478487210634,655514.083539,1.2139763231490428,Buy,85.11387392436053,Consistent Uptrend,7.08,0.551,60.07,11.77,daily,2025-08-11 23:30:01.967873+00:00,0.9003449890127287,26.031236801954503,73.126142595978,56.85402920715049,False,False,False,True,True,False,0.22412755102040816,0.15023788385804357,0.22412755102040816,0.23108979591836734,50.588774784872115
