symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,combined_score
API3/USDT:USDT,1.5844,1.2178051511758117,0.8509345794392524,87.90358054016012,0.0895272334988285,42644696.41747863,3.1591046927122597,Buy,79.47636167494143,Overbought,9.02,0.978,111.04,54.33,daily,2025-08-21 14:02:13.399017+00:00,1.1968589918187367,37.70969879110036,82.96738631143776,71.8828028482351,True,True,False,True,True,False,1.373523469387755,0.15352961584722163,1.373523469387755,1.58515,bull,1.4883700000000002,2.09416,20,87.7142723349883
BAND/USDT:USDT,0.8691,0.3234353586112382,0.10558453123012335,62.84068558583872,0.012894278286382984,5142057.821087332,5.645684796525746,Strong Buy,85.64471391431915,MACD Bullish,7.32,0.648,90.87,52.5,daily,2025-08-21 14:02:12.001108+00:00,1.1001526750876534,16.519040649608126,79.8277575356078,59.74389249315798,True,True,False,True,True,False,0.819945918367347,0.059947955751188095,0.819945918367347,0.8211081632653061,bull,0.8361192000000001,1.0382016,20,78.31394278286383
MEME/USDT:USDT,0.002551,0.3576370409792442,0.21187648456057007,72.19538378958669,8.518694197236963e-05,35507118.9634376,2.6645043554367738,Buy,75.00425934709862,MACD Bullish,8.04,0.73,88.94,56.27,daily,2025-08-21 14:02:58.981667+00:00,1.0648738851693078,38.034654636297795,64.91875923190545,73.05632521637507,True,False,False,True,True,False,0.0020689285714285714,0.23300535128603483,0.0020689285714285714,0.0021390918367346938,bull,0.002649344,0.003460112,20,76.35185186941973
KOMA/USDT:USDT,0.02708,0.1278633902540609,0.10440456769983686,62.143826322930806,2.3383802384860028e-05,12906351.766899498,9.073830755092688,Strong Buy,85.00116919011924,Moderate Uptrend,8.91,0.632,83.93,56.05,daily,2025-08-21 14:02:51.391111+00:00,1.094290162756444,36.35997959238835,59.84752223634053,35.37617132395925,True,False,False,True,True,False,0.022925714285714285,0.18120638085742774,0.022925714285714285,0.035022142857142856,bull,0.0270422,0.0339256,20,75.78023383802385
BAN/USDT:USDT,0.08388,0.22042776080314264,0.2819807427785419,73.08786346396967,0.0024237010910724407,36554339.26894463,3.9930026503697515,Buy,75.12118505455362,MACD Bullish,6.82,0.717,88.85,54.18,daily,2025-08-21 14:02:39.402352+00:00,1.0603101914697322,22.757904113923196,88.92273608418719,79.07545017037745,True,True,False,True,True,True,0.0628265306122449,0.33510475881110924,0.0628265306122449,0.06825142857142857,bull,0.08788,0.09791952,20,75.70323701091073
OGN/USDT:USDT,0.0768,0.3083475298126064,0.13777777777777755,67.88617886178861,0.0015962105903981976,10629297.686069166,1.6825269793279432,Buy,85.0798105295199,MACD Bullish,7.36,0.592,83.39,45.23,daily,2025-08-21 14:01:59.686700+00:00,1.0717500686912353,29.496736063793417,64.72602739726025,66.11680726014025,True,False,False,True,True,False,0.07716530612244898,-0.004734072095422117,0.07716530612244898,0.07751122448979592,bull,0.078132,0.097436,40,72.27996210590398
MORPHO/USDT:USDT,2.3602,0.1559408365167989,0.16008847382649294,63.02925989672977,0.015654344655355784,24529126.07971033,1.9111871460691063,Strong Buy,85.7827172327678,MACD Bullish,7.57,0.65,89.64,32.51,daily,2025-08-21 14:02:44.990044+00:00,0.9625386945925536,19.56325848184676,94.24534097890637,74.40623702177574,True,False,True,True,True,True,3.8898908163265307,-0.3932477513009258,3.8898908163265307,2.0321020408163264,bull,2.3883,2.693892,20,71.72954344655356
BB/USDT:USDT,0.12952,0.13883759781939675,0.06033565288579612,42.477073465685784,-0.00032565018045860664,16026964.68745,2.330227470760156,Neutral,89.98371749097707,Neutral,6.8,0.519,65.73,65.27,daily,2025-08-21 14:02:47.194546+00:00,0.6947133013254411,22.489775076526104,59.17595122976667,46.121582537717025,False,False,True,True,True,False,0.12862755102040815,0.006938241243901515,0.12862755102040815,0.1301034693877551,bull,0.13232084,0.17108632,20,70.44274349819541
AIOT/USDT:USDT,1.54615,1.4194886079118674,2.5454024306351752,88.29111486178907,0.1127650942388298,52422918.46427036,0.7231953348566429,Buy,72.63825471194149,Overbought,9.0,0.936,101.0,8.26,daily,2025-08-21 14:03:13.276883+00:00,0.9625976262322349,53.091389599218296,65.23021591273279,70.74484474280351,True,True,False,True,True,False,0.42136326530612245,2.669399132068892,0.42136326530612245,1.6801287755102041,bull,1.66126732,2.6745393600000003,20,67.5056509423883
SCR/USDT:USDT,0.4052,0.07680042519266528,0.1872253149721652,64.55485161720574,0.005883233423744277,11890657.651807915,1.7195137231655249,Buy,85.29416167118721,Consistent Uptrend,7.51,0.582,81.93,26.96,daily,2025-08-21 14:03:20.095872+00:00,0.8425839676123309,31.372023926285305,76.02905569007264,73.70809040300567,True,False,True,True,True,False,0.25896020408163267,0.5647191870155763,0.25896020408163267,0.4932693877551021,bull,0.38819560000000003,0.4887288,20,66.11183233423745
